,count,mean,std,min,25%,50%,75%,max,variance,missing,missing_percent,zeros_percent
KLRC1,76893.0,0.041401603535899466,0.2590703839539399,-1.31530756240827,-0.0005573195306775,0.0,0.0041200490560279,4.62092364420696,0.06711746384204183,0,0.0,22.68
VMO1,76893.0,0.01532450035760527,0.14737494916642105,-1.12342411822148,-0.000663005953479,0.0,0.0005053737686242,3.31114238629528,0.021719375641805188,0,0.0,24.31
HLA-DRB5,76893.0,0.6512367831868813,0.88798840413694,-1.33539687452158,0.0,0.0469845185273479,1.43003442984768,4.55204187441723,0.7885234058816696,0,0.0,10.95
PRKAR2B,76893.0,0.033679407977877336,0.1266627948769028,-0.308199377282666,0.0,0.0029790024065135,0.0148987637310027,3.28153432757673,0.01604346360602835,0,0.0,19.85
FCER1G,76893.0,0.7681214469820309,1.0957017511375462,-1.16747037135135,0.0,0.0694823656992652,1.79753756156524,4.60049496754266,1.2005623274458854,0,0.0,10.84
CCR10,76893.0,0.023582357962401747,0.1424100604142162,-0.432197203869202,0.0,0.0012169063101926,0.009204484125709,3.76073020701192,0.020280625307180708,0,0.0,20.61
PPP1R14A,76893.0,0.06492943724262322,0.27271740358779545,-0.978960891766702,0.0,2.14214762034801e-05,0.0040807971015708,5.0930950919315,0.0743747822196685,0,0.0,25.65
HMMR,76893.0,0.0033586030626948852,0.04284134351191324,-0.332617408295994,-0.0003975400812544,0.0,0.0029307340247843,2.18122884585996,0.0018353807139057507,0,0.0,23.95
CD14,76893.0,0.2909201062839071,0.6974575754701954,-0.949559288052955,0.0,0.0174258896135416,0.0607966882790368,7.37098221585768,0.4864470695807633,0,0.0,14.44
HBA1,76893.0,0.00723220728197441,0.15336890102872097,-1.51064130401185,-0.0003335157147554,0.0,8.77664967377608e-05,4.6165460743319,0.023522019802757605,0,0.0,30.56
LINC00996,76893.0,0.0323182217848176,0.19197222812200077,-0.562732462370421,0.0,0.0019295510192794,0.0074962643578209,3.83417149641804,0.0368533363701255,0,0.0,20.76
HOPX,76893.0,0.3423888177301238,0.7360885954594798,-1.24422255418071,0.0,0.0091225461848072,0.191769532147322,5.44393679233265,0.5418264203655098,0,0.0,16.22
COTL1,76893.0,1.0898211872171002,1.089105189548764,-1.32944549097564,0.0552567621024311,0.962170402724001,1.96675963370032,4.97399719011765,1.1861501139020494,0,0.0,6.99
MARCKS,76893.0,0.5294720416193843,0.8143579244196204,-0.819987351280536,0.0048879844175456,0.0321395491261972,0.911512196841828,4.37631844281297,0.6631788290650321,0,0.0,12.43
SPINK2,76893.0,0.026649735245722502,0.14817336117379057,-0.576743723210325,-0.0001917561278707,0.0,0.0141580267288791,2.87021653983328,0.02195534496153859,0,0.0,21.38
HES4,76893.0,0.09046554767677926,0.33862066196239704,-0.995949411270542,-0.0008167104169584,0.0016770454588945,0.0202556783375418,4.65562040744214,0.11466395270785197,0,0.0,18.66
CLEC1B,76893.0,0.001591042772347389,0.04113740062083374,-0.436656413180302,0.0,0.0,0.0002222660576687,3.07956794217635,0.0016922857298389724,0,0.0,38.22
IFI30,76893.0,0.7455838785335012,1.11694154217797,-0.745514829199242,0.0056784761084928,0.086208677031941,1.22314884395721,6.20265693320667,1.247558408642902,0,0.0,11.22
CPVL,76893.0,0.3245088996883436,0.6716377181524705,-1.03891903437755,0.0,0.0113816544566992,0.065846352344037,4.72413284802891,0.4510972244450574,0,0.0,14.05
CCNB2,76893.0,0.0023497887845236316,0.03633485148119359,-0.303391324426903,0.0,0.0,0.0012316299319384,2.65580725030071,0.0013202214321603963,0,0.0,26.19
PSAP,76893.0,0.9332554525574869,1.1772259256403452,-2.06975437749156,0.0,0.415347381762597,1.7528898502459,5.5231067228915,1.3858608799997674,0,0.0,8.81
C12orf75,76893.0,0.30616678344674764,0.6090415736668381,-1.12237631432831,0.0,0.032861224269605,0.286614553515294,4.46121757805484,0.37093163845457855,0,0.0,14.78
MNDA,76893.0,0.6484025235754428,1.1117506007816598,-0.722690791578854,0.0,0.0689857921752064,0.889813567654708,6.95846087087201,1.2359893983383814,0,0.0,12.08
ISG15,76893.0,0.7245721803878424,0.7956540489544077,-1.3922891510739,0.0805161441700785,0.435822372749828,1.24526304079108,5.16678560940076,0.6330653656175431,0,0.0,8.59
TYROBP,76893.0,0.9671349474305598,1.319123426723575,-1.01499451090407,0.0,0.0937984370502127,2.45332933989141,5.54461863568705,1.7400866149309466,0,0.0,10.82
RALGPS2,76893.0,0.38254464433195334,0.75598437454138,-0.485219239402769,0.0,0.0436111115220091,0.136708384486109,4.96055330115755,0.5715123745507215,0,0.0,14.29
TOP2A,76893.0,0.003723653494259061,0.05464660861182253,-0.695499756869897,-0.0002798063229782,0.0,0.0034937995010317,2.16190384234919,0.0029862518327737164,0,0.0,22.76
KLRC2,76893.0,0.05359600535979442,0.2460579866917496,-1.26717646377121,-0.0001425103303794,0.0,0.0045118664544412,3.46442770080879,0.06054453281479723,0,0.0,22.79
NEAT1,76893.0,2.0466580615431247,1.307084076527423,-0.92648205602791,1.00876968088427,1.8861939960016,3.0376503925161,6.73899667502136,1.7084687831115464,0,0.0,2.92
CFD,76893.0,0.40328508558677234,0.8160151635901371,-1.13745695934335,-0.0003339353918792,0.0198859198141355,0.12332921830244,4.9392686166677,0.6658807472090382,0,0.0,13.33
LGALS1,76893.0,0.9135074285856885,1.084319117469563,-1.87138218335059,0.0,0.307154021376573,1.92506077163987,5.40394551813972,1.1757479485099718,0,0.0,9.77
CDC20,76893.0,0.0001862270963265182,0.030379097278248064,-0.327461581555005,-0.0007586067974035,0.0,5.51920678309434e-05,2.1671029613158,0.0009228895514412588,0,0.0,26.16
C2orf88,76893.0,0.010435757614478416,0.07579206268151528,-0.718167570317623,0.0,0.0031750369545528,0.0109533116502917,3.84782106688733,0.005744436765518742,0,0.0,20.17
VPREB3,76893.0,0.1772103316468158,0.5334834207336725,-1.39325448944296,-0.0006252702568152,0.0,0.0072515292846077,4.11545588646056,0.2846045601977006,0,0.0,21.08
